Model,Weights,MAP,TF-IDF Weight,BM25 Weight,Embedding Weight
scratch,"(1, 0, 0)",0.05106627128060904,1.0,0.0,0.0
scratch,"(0, 1, 0)",0.05172594739367601,0.0,1.0,0.0
scratch,"(0, 0, 1)",0.051785456414701794,0.0,0.0,1.0
scratch,"(0.0, 0.1, 0.9)",0.05582977971070579,0.0,0.1,0.9
scratch,"(0.1, 0.1, 0.8)",0.05934239478655705,0.1,0.1,0.8
scratch,"(0.2, 0.1, 0.7)",0.05893289510455144,0.2,0.1,0.7
scratch,"(0.3, 0.1, 0.6)",0.058287938634519046,0.3,0.1,0.6
scratch,"(0.4, 0.1, 0.5)",0.05680398853649627,0.4,0.1,0.5
scratch,"(0.5, 0.1, 0.4)",0.05497962806785183,0.5,0.1,0.4
scratch,"(0.6, 0.1, 0.3)",0.05327287920261702,0.6,0.1,0.3
scratch,"(0.7, 0.1, 0.2)",0.05286030743177971,0.7,0.1,0.2
scratch,"(0.8, 0.1, 0.1)",0.052415352862821014,0.8,0.1,0.1
scratch,"(0.9, 0.1, 0.0)",0.052157772214985486,0.9,0.1,0.0
scratch,"(0.0, 0.2, 0.8)",0.056263600551108225,0.0,0.2,0.8
scratch,"(0.1, 0.2, 0.7)",0.058556747766503915,0.1,0.2,0.7
scratch,"(0.2, 0.2, 0.6)",0.057310545316372266,0.2,0.2,0.6
scratch,"(0.3, 0.2, 0.5)",0.0571991783565703,0.3,0.2,0.5
scratch,"(0.4, 0.2, 0.4)",0.05657693061188594,0.4,0.2,0.4
scratch,"(0.5, 0.2, 0.3)",0.055306716260049835,0.5,0.2,0.3
scratch,"(0.6, 0.2, 0.2)",0.053507380745870525,0.6,0.2,0.2
scratch,"(0.7, 0.2, 0.1)",0.05209256263797636,0.7,0.2,0.1
scratch,"(0.8, 0.2, 0.0)",0.05218205361899426,0.8,0.2,0.0
scratch,"(0.0, 0.3, 0.7)",0.05503711761417479,0.0,0.3,0.7
scratch,"(0.1, 0.3, 0.6)",0.056575946076264705,0.1,0.3,0.6
scratch,"(0.2, 0.3, 0.5)",0.05624713374155509,0.2,0.3,0.5
scratch,"(0.3, 0.3, 0.4)",0.056446192849699275,0.3,0.3,0.4
scratch,"(0.4, 0.3, 0.3)",0.05530321448266533,0.4,0.3,0.3
scratch,"(0.5, 0.3, 0.2)",0.053003568661947366,0.5,0.3,0.2
scratch,"(0.6, 0.3, 0.1)",0.052402818885380356,0.6,0.3,0.1
scratch,"(0.7, 0.3, 0.0)",0.051883941480027444,0.7,0.3,0.0
scratch,"(0.0, 0.4, 0.6)",0.054680079908744135,0.0,0.4,0.6
scratch,"(0.1, 0.4, 0.5)",0.056458659124057245,0.1,0.4,0.5
scratch,"(0.2, 0.4, 0.4)",0.05624655985244379,0.2,0.4,0.4
scratch,"(0.3, 0.4, 0.3)",0.055031833972036766,0.3,0.4,0.3
scratch,"(0.4, 0.4, 0.2)",0.05444676206339012,0.4,0.4,0.2
scratch,"(0.5, 0.4, 0.1)",0.05352543488692246,0.5,0.4,0.1
scratch,"(0.6, 0.4, 0.0)",0.05257476761808997,0.6,0.4,0.0
scratch,"(0.0, 0.5, 0.5)",0.05406378192530837,0.0,0.5,0.5
scratch,"(0.1, 0.5, 0.4)",0.05531891338504431,0.1,0.5,0.4
